learningRate,gamma,epsilonMin,epsilon,batchSize,annelingSteps,VERSION,COMVER,mean
0.19,0.91,0.15,0.97,24,6500,1,1,36.76
0.07,0.94,0.17,0.96,32,6000,2,1,30.15
0.01,0.91,0.16,0.92,8,13500,3,1,29.12
0.06,0.98,0.16,0.86,24,9500,4,1,20.58
0.16,0.88,0.19,0.9,32,13500,5,1,29.09
0.07,0.87,0.12,0.97,32,14000,6,1,32.26
0.16,0.89,0.18,0.97,8,6000,7,1,33.79
0.1,0.84,0.14,0.93,24,11000,8,1,30.31
0.08,0.96,0.13,0.99,24,7500,9,1,28.22
0.12,0.92,0.11,0.97,32,11000,10,1,28.82
0.03,0.87,0.2,0.85,24,15500,11,1,24.23